'2017', '65 208 km', '1 422 cm3', 'Diesel', '35 900 PLN', '(Mazowieckie)'
'2020', '5 km', '999 cm3', 'Benzyna', '57 350 PLN', '(£ódzkie)'
'2017', '132 324 km', '1 422 cm3', 'Diesel', '29 000 PLN', '(Œl¹skie)'
'2018', '169 376 km', '999 cm3', 'Benzyna+LPG', '31 500 PLN', '(Kujawsko-pomorskie)'
'2019', '17 400 km', '999 cm3', 'Benzyna', '53 997 PLN', '(Dolnoœl¹skie)'
'2017', '137 572 km', '1 422 cm3', 'Diesel', '30 000 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '58 300 PLN', '(£ódzkie)'
'2017', '69 892 km', '999 cm3', 'Benzyna', '28 002 PLN', '(Mazowieckie)'
'2017', '135 278 km', '1 422 cm3', 'Diesel', '24 002 PLN', '(Mazowieckie)'
'2017', '159 000 km', '999 cm3', 'Benzyna', '25 999 PLN', '(Dolnoœl¹skie)'
'2019', '28 000 km', '999 cm3', 'Benzyna+LPG', '49 500 PLN', '(£ódzkie)'
'2017', '110 000 km', '999 cm3', 'Benzyna', '28 900 PLN', '(Mazowieckie)'
'2017', '164 500 km', '1 197 cm3', 'Benzyna', '27 900 PLN', '(Œl¹skie)'
'2018', '59 890 km', '999 cm3', 'Benzyna', '32 999 PLN', '(Œl¹skie)'
'2017', '134 879 km', '1 422 cm3', 'Diesel', '29 000 PLN', '(Œl¹skie)'
'2018', '43 354 km', '999 cm3', 'Benzyna', '43 900 PLN', '(Kujawsko-pomorskie)'
'2017', '126 000 km', '999 cm3', 'Benzyna', '27 900 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '61 700 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 500 PLN', '(£ódzkie)'
'2020', '2 km', '999 cm3', 'Benzyna', '59 200 PLN', '(Kujawsko-pomorskie)'
'2020', '9 km', '999 cm3', 'Benzyna', '52 800 PLN', '(Kujawsko-pomorskie)'
'2020', '9 km', '999 cm3', 'Benzyna', '52 800 PLN', '(Kujawsko-pomorskie)'
'2020', '9 km', '999 cm3', 'Benzyna', '58 000 PLN', '(Kujawsko-pomorskie)'
'2020', '9 km', '999 cm3', 'Benzyna', '58 000 PLN', '(Kujawsko-pomorskie)'
'2017', '102 700 km', '999 cm3', 'Benzyna', '27 900 PLN', '(Ma³opolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '55 800 PLN', '(Dolnoœl¹skie)'
'2019', '26 856 km', '999 cm3', 'Benzyna', '48 900 PLN', '(Warmiñsko-mazurskie)'
'2020', '1 km', '999 cm3', 'Benzyna+LPG', '57 750 PLN', '(Dolnoœl¹skie)'
'2020', '5 km', '999 cm3', 'Benzyna', '56 000 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '54 850 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '57 400 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '59 200 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '56 800 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2018', '100 000 km', '999 cm3', 'Benzyna+LPG', '37 83732 PLN', '(Mazowieckie)'
'2017', '96 837 km', '1 422 cm3', 'Diesel', '28 700 PLN', '(Mazowieckie)'
'2019', '32 000 km', '999 cm3', 'Benzyna', '48 999 PLN', '(Œl¹skie)'
'2018', '89 000 km', '999 cm3', 'Benzyna+LPG', '18 900 PLN', '(£ódzkie)'
'2018', '61 000 km', '1 395 cm3', 'Benzyna', '57 700 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '62 750 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '62 400 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '62 400 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '57 350 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 150 PLN', '(Dolnoœl¹skie)'
'2019', '42 000 km', '999 cm3', 'Benzyna', '42 900 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 850 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '57 350 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 200 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 200 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 200 PLN', '(Dolnoœl¹skie)'
'2018', '9 000 km', '999 cm3', 'Benzyna', '46 900 PLN', '(Ma³opolskie)'
'2017', '158 000 km', '1 422 cm3', 'Diesel', '33 900 PLN', '(Kujawsko-pomorskie)'
'2017', '114 992 km', '1 422 cm3', 'Diesel', '31 900 PLN', '(Mazowieckie)'
'2017', '99 600 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Œwiêtokrzyskie)'
'2017', '96 000 km', '999 cm3', 'Benzyna+LPG', '31 900 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna+LPG', '58 500 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 850 PLN', '(£ódzkie)'
'2017', '87 800 km', '1 422 cm3', 'Diesel', '39 999 PLN', '(Dolnoœl¹skie)'
'2017', '103 668 km', '1 197 cm3', 'Benzyna', '33 002 PLN', '(Dolnoœl¹skie)'
'2017', '89 200 km', '999 cm3', 'Benzyna', '40 900 PLN', '(Kujawsko-pomorskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '62 750 PLN', '(Dolnoœl¹skie)'
'2017', '202 000 km', '999 cm3', 'Benzyna', '19 999 PLN', '(Podkarpackie)'
'2020', '356 km', '999 cm3', 'Benzyna', '59 900 PLN', '(Wielkopolskie)'
'2021', '8 km', '999 cm3', 'Benzyna', '65 700 PLN', '(Lubelskie)'
'2017', '160 000 km', '999 cm3', 'Benzyna+LPG', '30 000 PLN', '(Kujawsko-pomorskie)'
'2017', '140 000 km', '1 422 cm3', 'Diesel', '27 700 PLN', '(Ma³opolskie)'
'2017', '65 841 km', '999 cm3', 'Benzyna', '37 900 PLN', '(Lubelskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '53 900 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '53 490 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '58 750 PLN', '(Lubuskie)'
'2018', '64 217 km', '1 400 cm3', 'Diesel', '25 999 PLN', '(Ma³opolskie)'
'2017', '100 884 km', '1 422 cm3', 'Diesel', '32 900 PLN', '(Kujawsko-pomorskie)'
'2019', '115 000 km', '999 cm3', 'Benzyna', '36 500 PLN', '(Warmiñsko-mazurskie)'
'2019', '26 195 km', '1 000 cm3', 'Benzyna', '52 400 PLN', '(Opolskie)'
'2017', '169 429 km', '999 cm3', 'Benzyna', '23 499 PLN', '(Mazowieckie)'
'2019', '65 100 km', '1 000 cm3', 'Benzyna+LPG', '41 986 PLN', '(Ma³opolskie)'
'2018', '1 800 km', '999 cm3', 'Benzyna', '55 900 PLN', '(Œl¹skie)'
'2020', '8 km', '999 cm3', 'Benzyna', '58 850 PLN', '(Wielkopolskie)'
'2017', '65 379 km', '999 cm3', 'Benzyna', '35 900 PLN', '(£ódzkie)'
'2018', '8 000 km', '999 cm3', 'Benzyna', '37 999 PLN', '(Œl¹skie)'
'2020', '5 km', '998 cm3', 'Benzyna', '55 300 PLN', '(Œwiêtokrzyskie)'
'2017', '110 000 km', '999 cm3', 'Benzyna', '16 299 PLN', '(Wielkopolskie)'
'2021', '5 km', '999 cm3', 'Benzyna', '62 850 PLN', '(Opolskie)'
'2019', '37 336 km', '999 cm3', 'Benzyna', '47 850 PLN', '(Ma³opolskie)'
'2017', '148 799 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '62 700 PLN', '(Mazowieckie)'
'2018', '48 055 km', '999 cm3', 'Benzyna', '37 500 PLN', '(Mazowieckie)'
'2017', '141 336 km', '1 422 cm3', 'Diesel', '27 000 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '64 900 PLN', '(Dolnoœl¹skie)'
'2018', '59 000 km', '999 cm3', 'Benzyna', '32 850 PLN', '(Opolskie)'
'2018', '36 457 km', '999 cm3', 'Benzyna+LPG', '46 000 PLN', '(Mazowieckie)'
'2019', '6 800 km', '999 cm3', 'Benzyna', '54 900 PLN', '(Œwiêtokrzyskie)'
'2017', '160 000 km', '999 cm3', 'Benzyna', '25 999 PLN', '(Œl¹skie)'
'2019', '6 379 km', '1 000 cm3', 'Benzyna', '52 700 PLN', '(Opolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '49 250 PLN', '(Œl¹skie)'
'2019', '29 440 km', '999 cm3', 'Benzyna', '44 990 PLN', '(Podkarpackie)'
'2020', '9 km', '999 cm3', 'Benzyna', '59 850 PLN', '(Mazowieckie)'
'2017', '130 000 km', '1 422 cm3', 'Diesel', '26 800 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '57 500 PLN', '(Œl¹skie)'
'2020', '5 km', '999 cm3', 'Benzyna', '51 500 PLN', '(Ma³opolskie)'
'2018', '32 099 km', '999 cm3', 'Benzyna', '47 900 PLN', '(Mazowieckie)'
'2017', '155 600 km', '999 cm3', 'Benzyna+LPG', '26 999 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '57 500 PLN', '(Œl¹skie)'
'2020', '9 km', '999 cm3', 'Benzyna', '55 500 PLN', '(Kujawsko-pomorskie)'
'2018', '83 500 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Podlaskie)'
'2020', '301 km', '999 cm3', 'Benzyna', '62 900 PLN', '(Lubelskie)'
'2017', '148 656 km', '1 422 cm3', 'Diesel', '28 000 PLN', '(£ódzkie)'
'2019', '20 800 km', '999 cm3', 'Benzyna', '36 900 PLN', '(Warmiñsko-mazurskie)'
'2018', '38 990 km', '999 cm3', 'Benzyna', '31 500 PLN', '(Warmiñsko-mazurskie)'
'2019', '33 000 km', '999 cm3', 'Benzyna', '26 900 PLN', '(£ódzkie)'
'2019', '34 400 km', '1 000 cm3', 'Benzyna', '49 900 PLN', '(Opolskie)'
'2017', '76 097 km', '999 cm3', 'Benzyna', '34 075 PLN', '(Mazowieckie)'
'2018', '98 168 km', '999 cm3', 'Benzyna', '37 075 PLN', '(Mazowieckie)'
'2017', '39 764 km', '999 cm3', 'Benzyna', '38 000 PLN', '(Dolnoœl¹skie)'
'2019', '31 254 km', '1 000 cm3', 'Benzyna', '51 900 PLN', '(Opolskie)'
'2017', '105 877 km', '999 cm3', 'Benzyna', '30 002 PLN', '(Dolnoœl¹skie)'
'2017', '122 000 km', '1 197 cm3', 'Benzyna', '33 000 PLN', '(£ódzkie)'
'2018', '18 585 km', '999 cm3', 'Benzyna', '39 500 PLN', '(Mazowieckie)'
'2019', '22 300 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Œl¹skie)'
'2019', '86 500 km', '999 cm3', 'Benzyna+LPG', '39 73631 PLN', '(Pomorskie)'
'2020', '9 km', '1 000 cm3', 'Benzyna', '63 900 PLN', '(Dolnoœl¹skie)'
'2020', '6 km', '999 cm3', 'Benzyna', '49 999 PLN', '(Ma³opolskie)'
'2020', '9 km', '999 cm3', 'Benzyna', '56 500 PLN', '(Ma³opolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '61 900 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '61 500 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '63 800 PLN', '(Mazowieckie)'
'2017', '93 902 km', '999 cm3', 'Benzyna', '30 799 PLN', '(Mazowieckie)'
'2017', '48 962 km', '999 cm3', 'Benzyna+LPG', '39 900 PLN', '(£ódzkie)'
'2019', '47 333 km', '999 cm3', 'Benzyna', '39 900 PLN', '(£ódzkie)'
'2019', '51 000 km', '999 cm3', 'Benzyna', '26 399 PLN', '(Œl¹skie)'
'2020', '5 km', '999 cm3', 'Benzyna', '58 500 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '60 900 PLN', '(£ódzkie)'
'2019', '41 000 km', '999 cm3', 'Benzyna', '8 000 PLN', '(Pomorskie)'
'2018', '48 900 km', '999 cm3', 'Benzyna', '35 900 PLN', '(£ódzkie)'
'2018', '95 000 km', '999 cm3', 'Benzyna+LPG', '36 777 PLN', '(Mazowieckie)'
'2020', '5 km', '999 cm3', 'Benzyna', '59 900 PLN', '(£ódzkie)'
'2017', '140 735 km', '1 197 cm3', 'Benzyna', '39 900 PLN', '(Œl¹skie)'
'2020', '4 400 km', '999 cm3', 'Benzyna', '62 990 PLN', '(Pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '53 000 PLN', '(Pomorskie)'
'2020', '2 800 km', '999 cm3', 'Benzyna', '59 990 PLN', '(Pomorskie)'
'2020', '4 200 km', '999 cm3', 'Benzyna', '59 990 PLN', '(Pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '55 690 PLN', '(Pomorskie)'
'2018', '29 833 km', '999 cm3', 'Benzyna', '38 400 PLN', '(Œl¹skie)'
'2019', '23 841 km', '999 cm3', 'Benzyna', '45 900 PLN', '(Pomorskie)'
'2018', '18 000 km', '999 cm3', 'Benzyna', '38 597 PLN', '(Kujawsko-pomorskie)'
'2019', '24 000 km', '999 cm3', 'Benzyna', '18 900 PLN', '(Wielkopolskie)'
'2019', '11 000 km', '999 cm3', 'Benzyna', '19 900 PLN', '(Mazowieckie)'
'2019', '27 850 km', '999 cm3', 'Benzyna', '43 900 PLN', '(Mazowieckie)'
'2017', '121 000 km', '999 cm3', 'Benzyna', '30 900 PLN', '(Dolnoœl¹skie)'
'2019', '2 200 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Œwiêtokrzyskie)'
'2018', '14 600 km', '999 cm3', 'Benzyna', '36 600 PLN', '(Wielkopolskie)'
'2018', '64 318 km', '999 cm3', 'Benzyna+LPG', '37 900 PLN', '(Œl¹skie)'
'2017', '153 140 km', '999 cm3', 'Benzyna', '28 000 PLN', '(£ódzkie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 400 PLN', '(Œl¹skie)'
'2017', '134 000 km', '1 422 cm3', 'Diesel', '29 700 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '65 300 PLN', '(£ódzkie)'
'2018', '70 000 km', 'Benzyna+LPG', '45 000 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 850 PLN', '(Œl¹skie)'
'2020', '2 000 km', '999 cm3', 'Benzyna', '57 900 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '65 000 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '65 000 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '65 250 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '63 700 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '63 350 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '65 000 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 500 PLN', '(Œl¹skie)'
'2020', '5 km', '999 cm3', 'Benzyna', '60 500 PLN', '(£ódzkie)'
'2018', '16 203 km', '999 cm3', 'Benzyna', '46 200 PLN', '(Œl¹skie)'
'2018', '46 459 km', '1 000 cm3', 'Benzyna', '45 300 PLN', '(Opolskie)'
'2017', '123 315 km', '1 000 cm3', 'Benzyna', '34 900 PLN', '(Opolskie)'
'2019', '44 482 km', '999 cm3', 'Benzyna', '47 900 PLN', '(Kujawsko-pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Wielkopolskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '59 250 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '56 400 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '61 200 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '63 350 PLN', '(£ódzkie)'
'2017', '84 000 km', '999 cm3', 'Benzyna', '30 900 PLN', '(Mazowieckie)'
'2019', '41 934 km', '999 cm3', 'Benzyna', '42 900 PLN', '(Kujawsko-pomorskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '55 200 PLN', '(£ódzkie)'
'2019', '80 338 km', '999 cm3', 'Benzyna+LPG', '33 900 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '55 150 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna+LPG', '50 650 PLN', '(£ódzkie)'
'2019', '78 500 km', '999 cm3', 'Benzyna', '39 900 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '48 150 PLN', '(£ódzkie)'
'2019', '46 326 km', '999 cm3', 'Benzyna', '39 900 PLN', '(Œl¹skie)'
'2017', '174 655 km', '1 197 cm3', 'Benzyna', '25 900 PLN', '(Wielkopolskie)'
'2019', '9 km', '999 cm3', 'Benzyna', '57 990 PLN', '(Œl¹skie)'
'2017', '126 000 km', '1 197 cm3', 'Benzyna+LPG', '31 000 PLN', '(Lubelskie)'
'2018', '89 000 km', '1 000 cm3', 'Benzyna+LPG', '37 900 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '57 490 PLN', '(Lubuskie)'
'2017', '115 000 km', '999 cm3', 'Benzyna', '30 900 PLN', '(Dolnoœl¹skie)'
'2018', '70 000 km', '999 cm3', 'Benzyna', '41 900 PLN', '(Dolnoœl¹skie)'
'2017', '104 000 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Dolnoœl¹skie)'
'2017', '70 080 km', '999 cm3', 'Benzyna', '41 500 PLN', '(Kujawsko-pomorskie)'
'2018', '38 355 km', '999 cm3', 'Benzyna', '43 900 PLN', '(Wielkopolskie)'
'2017', '117 853 km', '1 422 cm3', 'Diesel', '34 900 PLN', '(Wielkopolskie)'
'2017', '152 280 km', '999 cm3', 'Benzyna', '28 000 PLN', '(Œl¹skie)'
'2019', '34 722 km', '999 cm3', 'Benzyna+LPG', '43 000 PLN', '(Œl¹skie)'
'2017', '132 696 km', '999 cm3', 'Benzyna', '29 002 PLN', '(Mazowieckie)'
'2019', '28 900 km', '999 cm3', 'Benzyna', '38 500 PLN', '(Wielkopolskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '59 400 PLN', '(Lubelskie)'
'2020', '8 km', '999 cm3', 'Benzyna', '52 950 PLN', '(Warmiñsko-mazurskie)'
'2017', '144 000 km', '1 422 cm3', 'Diesel', '27 900 PLN', '(Mazowieckie)'
'2017', '51 000 km', '999 cm3', 'Benzyna', '39 800 PLN', '(Wielkopolskie)'
'2019', '3 000 km', '999 cm3', 'Benzyna', '48 900 PLN', '(Œl¹skie)'
'2017', '40 600 km', '1 200 cm3', 'Benzyna', '37 986 PLN', '(Ma³opolskie)'
'2017', '163 890 km', '1 422 cm3', 'Diesel', '29 500 PLN', '(Mazowieckie)'
'2017', '242 333 km', '1 422 cm3', 'Diesel', '25 900 PLN', '(Mazowieckie)'
'2017', '185 456 km', '1 422 cm3', 'Diesel', '27 900 PLN', '(Mazowieckie)'
'2017', '131 049 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2017', '137 392 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Mazowieckie)'
'2019', '29 000 km', '1 000 cm3', 'Benzyna', '54 500 PLN', '(Dolnoœl¹skie)'
'2017', '168 000 km', '999 cm3', 'Benzyna+LPG', '19 999 PLN', '(Wielkopolskie)'
'2018', '57 000 km', '999 cm3', 'Benzyna', '27 468 PLN', '(Wielkopolskie)'
'2017', '114 103 km', '1 000 cm3', 'Benzyna', '26 500 PLN', '(Mazowieckie)'
'2019', '13 000 km', '999 cm3', 'Benzyna', '43 500 PLN', '(Pomorskie)'
'2019', '33 500 km', '999 cm3', 'Benzyna', '47 900 PLN', '(Œl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '60 900 PLN', '(Œl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '53 500 PLN', '(Œl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '59 850 PLN', '(Œl¹skie)'
'2021', '8 km', '999 cm3', 'Benzyna', '65 780 PLN', '(Warmiñsko-mazurskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '59 300 PLN', '(Œl¹skie)'
'2018', '54 407 km', '999 cm3', 'Benzyna', '37 900 PLN', '(Ma³opolskie)'
'2017', '176 612 km', '1 422 cm3', 'Diesel', '24 900 PLN', '(Wielkopolskie)'
'2017', '180 573 km', '1 400 cm3', 'Diesel', '25 900 PLN', '(Wielkopolskie)'
'2017', '180 500 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Lubelskie)'
'2017', '76 097 km', '999 cm3', 'Benzyna', '34 075 PLN', '(Œl¹skie)'
'2020', '9 km', '999 cm3', 'Benzyna', '56 300 PLN', '(Mazowieckie)'
'2020', '9 km', '999 cm3', 'Benzyna', '56 300 PLN', '(Mazowieckie)'
'2017', '104 086 km', '999 cm3', 'Benzyna', '34 000 PLN', '(Mazowieckie)'
'2019', '18 736 km', '999 cm3', 'Benzyna', '52 900 PLN', '(Warmiñsko-mazurskie)'
'2019', '5 376 km', '999 cm3', 'Benzyna', '50 900 PLN', '(£ódzkie)'
'2018', '73 233 km', '999 cm3', 'Benzyna', '42 075 PLN', '(Œl¹skie)'
'2019', '36 694 km', '1 000 cm3', 'Benzyna', '49 900 PLN', '(Opolskie)'
'2018', '65 000 km', '1 000 cm3', 'Benzyna', '23 550 PLN', '(Wielkopolskie)'
'2019', '99 900 km', '999 cm3', 'Benzyna+LPG', '27 900 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna', '63 850 PLN', '(Zachodniopomorskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '63 050 PLN', '(Zachodniopomorskie)'
'2019', '119 630 km', '999 cm3', 'Benzyna+LPG', '38 899 PLN', '(Œl¹skie)'
'2017', '69 082 km', '999 cm3', 'Benzyna', '12 999 PLN', '(Wielkopolskie)'
'2019', '87 039 km', '999 cm3', 'Benzyna+LPG', '38 600 PLN', '(Ma³opolskie)'
'2017', '88 548 km', '1 000 cm3', 'Benzyna', '26 799 PLN', '(Dolnoœl¹skie)'
'2017', '149 369 km', '1 400 cm3', 'Diesel', '29 600 PLN', '(Œl¹skie)'
'2019', '89 000 km', '1 000 cm3', 'Benzyna+LPG', '21 900 PLN', '(£ódzkie)'
'2020', '10 km', '999 cm3', 'Benzyna', '61 900 PLN', '(Œl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '62 500 PLN', '(Œl¹skie)'
'2017', '125 207 km', '999 cm3', 'Benzyna', '28 900 PLN', '(Pomorskie)'
'2017', '121 067 km', '1 197 cm3', 'Benzyna', '31 600 PLN', '(Wielkopolskie)'
'2017', '137 000 km', '1 422 cm3', 'Diesel', '26 500 PLN', '(Mazowieckie)'
'2017', '109 000 km', '1 400 cm3', 'Diesel', '29 850 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna+LPG', '51 650 PLN', '(Ma³opolskie)'
'2021', '7 km', '999 cm3', 'Benzyna', '60 300 PLN', '(Lubelskie)'
'2021', '7 km', '999 cm3', 'Benzyna', '60 300 PLN', '(Lubelskie)'
'2019', '21 000 km', '999 cm3', 'Benzyna+LPG', '36 777 PLN', '(£ódzkie)'
'2018', '7 000 km', '999 cm3', 'Benzyna', '37 900 PLN', '(£ódzkie)'
'2019', '5 300 km', '999 cm3', 'Benzyna', '48 900 PLN', '(Podkarpackie)'
'2019', '59 000 km', '999 cm3', 'Benzyna+LPG', '39 900 PLN', '(£ódzkie)'
'2021', '1 km', '998 cm3', 'Benzyna', '56 990 PLN', '(Ma³opolskie)'
'2017', '131 000 km', '1 422 cm3', 'Diesel', '32 900 PLN', '(Pomorskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '58 150 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '60 700 PLN', '(Dolnoœl¹skie)'
